retriever,method,samples,recall@3,violation_rate@3,mean_answer_rank,mean_trap_rank,alpha,beta,candidate_top_n
dense,score_anti_rrf_c5_a0.5_b0.3,50,0.9,0.9,3.92,4.0,0.5,0.3,5
dense,score_anti_rrf_c5_a0.5_b0.5,50,0.9,0.9,3.88,4.04,0.5,0.5,5
dense,score_anti_rrf_c5_a0.5_b0.75,50,0.92,0.88,3.88,4.04,0.5,0.75,5
dense,score_anti_rrf_c5_a0.5_b1,50,0.88,0.88,3.96,4.14,0.5,1.0,5
dense,score_anti_rrf_c5_a0.75_b0.1,50,0.9,0.9,3.92,4.0,0.75,0.1,5
dense,score_anti_rrf_c5_a0.75_b0.2,50,0.9,0.9,3.9,4.02,0.75,0.2,5
dense,score_anti_rrf_c5_a0.75_b0.3,50,0.9,0.9,3.9,4.02,0.75,0.3,5
dense,score_anti_rrf_c5_a0.75_b0.5,50,0.9,0.9,3.9,4.02,0.75,0.5,5
dense,score_anti_rrf_c5_a0.75_b0.75,50,0.92,0.88,3.88,4.04,0.75,0.75,5
dense,score_anti_rrf_c5_a0.75_b1,50,0.9,0.9,3.92,4.0,0.75,1.0,5
dense,score_anti_rrf_c5_a1_b0.1,50,0.9,0.9,3.92,4.0,1.0,0.1,5
dense,score_anti_rrf_c5_a1_b0.2,50,0.9,0.9,3.9,4.02,1.0,0.2,5
dense,score_anti_rrf_c5_a1_b0.3,50,0.9,0.9,3.9,4.02,1.0,0.3,5
dense,score_anti_rrf_c5_a1_b0.5,50,0.9,0.9,3.9,4.02,1.0,0.5,5
dense,score_anti_rrf_c5_a1_b0.75,50,0.92,0.88,3.88,4.04,1.0,0.75,5
dense,score_anti_rrf_c5_a1_b1,50,0.92,0.9,3.88,4.0,1.0,1.0,5
dense,score_anti_rrf_c5_a1.5_b0.1,50,0.9,0.9,3.94,4.0,1.5,0.1,5
dense,score_anti_rrf_c5_a1.5_b0.2,50,0.9,0.9,3.92,4.02,1.5,0.2,5
dense,score_anti_rrf_c5_a1.5_b0.3,50,0.9,0.9,3.9,4.04,1.5,0.3,5
dense,score_anti_rrf_c5_a1.5_b0.5,50,0.9,0.9,3.9,4.04,1.5,0.5,5
dense,score_anti_rrf_c5_a1.5_b0.75,50,0.9,0.9,3.94,4.0,1.5,0.75,5
dense,score_anti_rrf_c5_a1.5_b1,50,0.92,0.88,3.92,4.02,1.5,1.0,5
dense,score_anti_rrf_c5_a2_b0.1,50,0.9,0.9,3.94,4.0,2.0,0.1,5
dense,score_anti_rrf_c5_a2_b0.2,50,0.9,0.9,3.92,4.02,2.0,0.2,5
dense,score_anti_rrf_c5_a2_b0.3,50,0.9,0.9,3.9,4.04,2.0,0.3,5
dense,score_anti_rrf_c5_a2_b0.5,50,0.9,0.9,3.92,4.02,2.0,0.5,5
dense,score_anti_rrf_c5_a2_b0.75,50,0.9,0.9,3.94,4.0,2.0,0.75,5
dense,score_anti_rrf_c5_a2_b1,50,0.9,0.9,3.94,4.0,2.0,1.0,5
dense,score_anti_rrf_c10_a0_b0.1,50,0.88,0.9,3.94,4.2,0.0,0.1,10
dense,score_anti_rrf_c10_a0_b0.2,50,0.88,0.9,3.96,4.2,0.0,0.2,10
dense,score_anti_rrf_c10_a0_b0.3,50,0.9,0.88,3.94,4.22,0.0,0.3,10
dense,score_anti_rrf_c10_a0_b0.5,50,0.88,0.9,3.96,4.18,0.0,0.5,10
dense,score_anti_rrf_c10_a0_b0.75,50,0.86,0.84,4.06,4.38,0.0,0.75,10
dense,score_anti_rrf_c10_a0_b1,50,0.52,0.34,5.8,6.6,0.0,1.0,10
dense,score_anti_rrf_c10_a0.25_b0.1,50,0.9,0.88,3.96,4.1,0.25,0.1,10
dense,score_anti_rrf_c10_a0.25_b0.2,50,0.9,0.88,3.94,4.12,0.25,0.2,10
dense,score_anti_rrf_c10_a0.25_b0.3,50,0.92,0.86,3.92,4.12,0.25,0.3,10
dense,score_anti_rrf_c10_a0.25_b0.5,50,0.9,0.88,3.88,4.14,0.25,0.5,10
dense,score_anti_rrf_c10_a0.25_b0.75,50,0.88,0.88,3.98,4.16,0.25,0.75,10
dense,score_anti_rrf_c10_a0.25_b1,50,0.82,0.82,4.14,4.42,0.25,1.0,10
dense,score_anti_rrf_c10_a0.5_b0.1,50,0.9,0.88,3.94,4.1,0.5,0.1,10
dense,score_anti_rrf_c10_a0.5_b0.2,50,0.9,0.88,3.94,4.06,0.5,0.2,10
dense,score_anti_rrf_c10_a0.5_b0.3,50,0.9,0.88,3.94,4.06,0.5,0.3,10
dense,score_anti_rrf_c10_a0.5_b0.5,50,0.92,0.9,3.84,4.08,0.5,0.5,10
dense,score_anti_rrf_c10_a0.5_b0.75,50,0.92,0.9,3.84,4.0,0.5,0.75,10
dense,score_anti_rrf_c10_a0.5_b1,50,0.88,0.88,3.92,4.14,0.5,1.0,10
dense,score_anti_rrf_c10_a0.75_b0.1,50,0.9,0.9,3.94,4.02,0.75,0.1,10
dense,score_anti_rrf_c10_a0.75_b0.2,50,0.9,0.9,3.94,4.02,0.75,0.2,10
dense,score_anti_rrf_c10_a0.75_b0.3,50,0.9,0.9,3.92,4.04,0.75,0.3,10
dense,score_anti_rrf_c10_a0.75_b0.5,50,0.92,0.88,3.86,4.08,0.75,0.5,10
dense,score_anti_rrf_c10_a0.75_b0.75,50,0.92,0.9,3.86,3.98,0.75,0.75,10
dense,score_anti_rrf_c10_a0.75_b1,50,0.9,0.9,3.9,3.98,0.75,1.0,10
dense,score_anti_rrf_c10_a1_b0.1,50,0.9,0.9,3.94,4.02,1.0,0.1,10
dense,score_anti_rrf_c10_a1_b0.2,50,0.9,0.9,3.94,4.02,1.0,0.2,10
dense,score_anti_rrf_c10_a1_b0.3,50,0.9,0.9,3.92,4.04,1.0,0.3,10
dense,score_anti_rrf_c10_a1_b0.5,50,0.92,0.88,3.9,4.06,1.0,0.5,10
dense,score_anti_rrf_c10_a1_b0.75,50,0.92,0.9,3.88,4.04,1.0,0.75,10
dense,score_anti_rrf_c10_a1_b1,50,0.92,0.9,3.86,3.98,1.0,1.0,10
dense,score_anti_rrf_c10_a1.5_b0.1,50,0.9,0.9,3.94,4.02,1.5,0.1,10
dense,score_anti_rrf_c10_a1.5_b0.2,50,0.9,0.9,3.94,4.02,1.5,0.2,10
dense,score_anti_rrf_c10_a1.5_b0.3,50,0.9,0.9,3.92,4.04,1.5,0.3,10
dense,score_anti_rrf_c10_a1.5_b0.5,50,0.9,0.9,3.9,4.06,1.5,0.5,10
dense,score_anti_rrf_c10_a1.5_b0.75,50,0.92,0.9,3.88,4.04,1.5,0.75,10
dense,score_anti_rrf_c10_a1.5_b1,50,0.92,0.92,3.86,3.96,1.5,1.0,10
dense,score_anti_rrf_c10_a2_b0.1,50,0.9,0.9,3.94,4.02,2.0,0.1,10
dense,score_anti_rrf_c10_a2_b0.2,50,0.9,0.9,3.94,4.02,2.0,0.2,10
dense,score_anti_rrf_c10_a2_b0.3,50,0.9,0.9,3.92,4.04,2.0,0.3,10
dense,score_anti_rrf_c10_a2_b0.5,50,0.9,0.9,3.9,4.06,2.0,0.5,10
dense,score_anti_rrf_c10_a2_b0.75,50,0.92,0.88,3.9,4.04,2.0,0.75,10
dense,score_anti_rrf_c10_a2_b1,50,0.92,0.9,3.92,3.98,2.0,1.0,10
dense,score_anti_rrf_c20_a0_b0.1,50,0.88,0.9,3.92,4.3,0.0,0.1,20
dense,score_anti_rrf_c20_a0_b0.2,50,0.88,0.9,3.94,4.28,0.0,0.2,20
dense,score_anti_rrf_c20_a0_b0.3,50,0.88,0.9,3.92,4.3,0.0,0.3,20
dense,score_anti_rrf_c20_a0_b0.5,50,0.86,0.88,4.02,4.34,0.0,0.5,20
dense,score_anti_rrf_c20_a0_b0.75,50,0.8,0.78,4.34,4.84,0.0,0.75,20
dense,score_anti_rrf_c20_a0_b1,50,0.32,0.2,8.68,9.68,0.0,1.0,20
dense,score_anti_rrf_c20_a0.25_b0.1,50,0.9,0.88,3.94,4.16,0.25,0.1,20
dense,score_anti_rrf_c20_a0.25_b0.2,50,0.9,0.88,3.9,4.16,0.25,0.2,20
dense,score_anti_rrf_c20_a0.25_b0.3,50,0.88,0.88,3.9,4.16,0.25,0.3,20
dense,score_anti_rrf_c20_a0.25_b0.5,50,0.9,0.86,3.96,4.18,0.25,0.5,20
dense,score_anti_rrf_c20_a0.25_b0.75,50,0.84,0.86,3.96,4.3,0.25,0.75,20
