retriever,method,samples,right_rank,mean_answer_rank,mean_trap_rank,recall@3,violation_rate@3,recall_minus_violation@3,recall@5,violation_rate@5,recall_minus_violation@5,recall@7,violation_rate@7,recall_minus_violation@7,recall@9,violation_rate@9,recall_minus_violation@9,avg_recall_minus_violation,alpha,beta,candidate_top_n
bge-m3-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a1.5_b0.1,1000,0.682,37.834,60.342,0.921,0.802,0.119,0.94,0.876,0.06399999999999995,0.948,0.898,0.04999999999999993,0.954,0.908,0.04599999999999993,0.06974999999999995,1.5,0.1,5
bge-m3-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a1.5_b0.2,1000,0.697,37.818,60.439,0.92,0.771,0.14900000000000002,0.94,0.876,0.06399999999999995,0.948,0.898,0.04999999999999993,0.954,0.908,0.04599999999999993,0.07724999999999996,1.5,0.2,5
bge-m3-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a1.5_b0.3,1000,0.702,37.811,60.531,0.921,0.739,0.18200000000000005,0.94,0.876,0.06399999999999995,0.948,0.898,0.04999999999999993,0.954,0.908,0.04599999999999993,0.08549999999999996,1.5,0.3,5
bge-m3-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a1.5_b0.5,1000,0.72,37.801,60.697,0.916,0.691,0.2250000000000001,0.94,0.876,0.06399999999999995,0.948,0.898,0.04999999999999993,0.954,0.908,0.04599999999999993,0.09624999999999997,1.5,0.5,5
bge-m3-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a1.5_b0.75,1000,0.749,37.789,60.927,0.911,0.623,0.28800000000000003,0.94,0.876,0.06399999999999995,0.948,0.898,0.04999999999999993,0.954,0.908,0.04599999999999993,0.11199999999999996,1.5,0.75,5
bge-m3-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a1.5_b1,1000,0.781,37.78,61.181,0.906,0.538,0.368,0.94,0.876,0.06399999999999995,0.948,0.898,0.04999999999999993,0.954,0.908,0.04599999999999993,0.13199999999999995,1.5,1.0,5
bge-m3-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a2_b0.1,1000,0.679,37.838,60.319,0.921,0.809,0.11199999999999999,0.94,0.876,0.06399999999999995,0.948,0.898,0.04999999999999993,0.954,0.908,0.04599999999999993,0.06799999999999995,2.0,0.1,5
bge-m3-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a2_b0.2,1000,0.688,37.828,60.39,0.92,0.786,0.134,0.94,0.876,0.06399999999999995,0.948,0.898,0.04999999999999993,0.954,0.908,0.04599999999999993,0.07349999999999995,2.0,0.2,5
bge-m3-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a2_b0.3,1000,0.697,37.818,60.459,0.92,0.764,0.15600000000000003,0.94,0.876,0.06399999999999995,0.948,0.898,0.04999999999999993,0.954,0.908,0.04599999999999993,0.07899999999999996,2.0,0.3,5
bge-m3-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a2_b0.5,1000,0.706,37.81,60.592,0.919,0.722,0.19700000000000006,0.94,0.876,0.06399999999999995,0.948,0.898,0.04999999999999993,0.954,0.908,0.04599999999999993,0.08924999999999997,2.0,0.5,5
