retriever,method,samples,right_rank,mean_answer_rank,mean_trap_rank,recall@3,violation_rate@3,recall_minus_violation@3,recall@5,violation_rate@5,recall_minus_violation@5,recall@7,violation_rate@7,recall_minus_violation@7,recall@9,violation_rate@9,recall_minus_violation@9,avg_recall_minus_violation,alpha,beta,candidate_top_n
bge-m3-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a2_b0.75,1000,0.787,64.468,669.399,0.907,0.518,0.389,0.926,0.581,0.3450000000000001,0.934,0.613,0.32100000000000006,0.94,0.637,0.30299999999999994,0.3395,2.0,0.75,all
bge-m3-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a0.5_b0.5,1000,0.858,21073.072,67205.636,0.336,0.016,0.32,0.351,0.018,0.33299999999999996,0.361,0.019,0.34199999999999997,0.37,0.019,0.351,0.3365,0.5,0.5,all
bge-m3-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a0.75_b0.75,1000,0.858,21073.069,67205.635,0.336,0.016,0.32,0.351,0.018,0.33299999999999996,0.361,0.019,0.34199999999999997,0.37,0.019,0.351,0.3365,0.75,0.75,all
bge-m3-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a1_b1,1000,0.858,21073.072,67205.636,0.336,0.016,0.32,0.351,0.018,0.33299999999999996,0.361,0.019,0.34199999999999997,0.37,0.019,0.351,0.3365,1.0,1.0,all
bge-m3-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a0.5_b0.3,1000,0.78,37.917,64.428,0.906,0.531,0.375,0.925,0.604,0.32100000000000006,0.934,0.632,0.30200000000000005,0.943,0.656,0.2869999999999999,0.32125000000000004,0.5,0.3,20
bge-m3-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a0.25_b0.75,1000,0.74,47.751,75.649,0.288,0.02,0.26799999999999996,0.336,0.025,0.311,0.356,0.03,0.32599999999999996,0.39,0.035,0.355,0.31499999999999995,0.25,0.75,20
bge-m3-rewriter-gpt4o-mini,score_anti_rrf_no_target_c10_a0.75_b0.5,1000,0.791,37.821,62.551,0.907,0.506,0.401,0.927,0.587,0.3400000000000001,0.937,0.637,0.30000000000000004,0.947,0.736,0.21099999999999997,0.31300000000000006,0.75,0.5,10
bge-m3-rewriter-gpt4o-mini,score_anti_rrf_no_target_c10_a1.5_b1,1000,0.791,37.821,62.551,0.907,0.506,0.401,0.927,0.587,0.3400000000000001,0.937,0.637,0.30000000000000004,0.947,0.736,0.21099999999999997,0.31300000000000006,1.5,1.0,10
bge-m3-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a1.5_b0.5,1000,0.773,56.075,434.114,0.91,0.56,0.35,0.931,0.619,0.31200000000000006,0.935,0.655,0.28,0.942,0.674,0.2679999999999999,0.3025,1.5,0.5,all
bge-m3-rewriter-gpt4o-mini,score_anti_rrf_no_target_c10_a0.5_b0.3,1000,0.771,37.826,62.231,0.908,0.552,0.356,0.926,0.623,0.30300000000000005,0.94,0.677,0.2629999999999999,0.949,0.762,0.18699999999999994,0.27725,0.5,0.3,10
bge-m3-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a0.25_b1,1000,0.723,48.501,75.717,0.248,0.019,0.229,0.284,0.021,0.26299999999999996,0.32,0.028,0.292,0.349,0.03,0.31899999999999995,0.27575,0.25,1.0,20
bge-m3-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a1_b0.3,1000,0.762,51.468,311.036,0.912,0.586,0.32600000000000007,0.933,0.652,0.281,0.936,0.691,0.2450000000000001,0.943,0.712,0.23099999999999998,0.27075000000000005,1.0,0.3,all
bge-m3-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a1_b0.5,1000,0.754,37.885,63.447,0.914,0.602,0.31200000000000006,0.931,0.661,0.27,0.936,0.694,0.2420000000000001,0.946,0.714,0.23199999999999998,0.264,1.0,0.5,20
bge-m3-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a1.5_b0.75,1000,0.754,37.885,63.447,0.914,0.602,0.31200000000000006,0.931,0.661,0.27,0.936,0.694,0.2420000000000001,0.946,0.714,0.23199999999999998,0.264,1.5,0.75,20
bge-m3-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a2_b1,1000,0.754,37.885,63.447,0.914,0.602,0.31200000000000006,0.931,0.661,0.27,0.936,0.694,0.2420000000000001,0.946,0.714,0.23199999999999998,0.264,2.0,1.0,20
