dataset	split	embedding_model	condition_label	condition	candidate_top_n	beta	samples	recall@3	recall@5	recall@7	recall@9	violation@3	violation@5	violation@7	violation@9	avg_recall	avg_violation	avg_recall_delta	avg_violation_delta	strict_recall_kept_all_k	avg_recall_kept	violation_lower_all_k	avg_violation_lower	mean_answer_rank	mean_trap_rank	recall_delta@3	violation_delta@3	recall_delta@5	violation_delta@5	recall_delta@7	violation_delta@7	recall_delta@9	violation_delta@9
ExcluIR	full	text-embedding-3-small	baseline-q_trap	baseline - beta*q_trap	all	0.4	3452	0.9194669756662804	0.9307647740440324	0.9382966396292004	0.9420625724217844	0.3140208574739281	0.3884704519119351	0.4310544611819235	0.4603128621089223	0.9326477404403244	0.3984646581691773	-0.0039107763615294	-0.4803012746234066	False	False	True	True	76.91338354577057	1493.3705098493626	0.0028968713789108	-0.5110081112398609	-0.0069524913093858	-0.4904403244495944	-0.0063731170336036	-0.4681344148319814	-0.0052143684820393	-0.45162224797219
ExcluIR	full	text-embedding-3-small	baseline-q_trap	baseline - beta*q_trap	all	0.41	3452	0.9197566628041716	0.9304750869061412	0.9377172653534184	0.9414831981460025	0.298667439165701	0.3739860950173812	0.4171494785631518	0.4458285052143685	0.9323580533024334	0.3839078794901506	-0.0042004634994206	-0.4948580533024333	False	False	True	True	80.38238702201622	1658.364426419467	0.0031865585168018	-0.526361529548088	-0.0072421784472769	-0.5049246813441484	-0.0069524913093859	-0.4820393974507531	-0.0057937427578215	-0.4661066048667439
ExcluIR	full	text-embedding-3-small	baseline-q_trap	baseline - beta*q_trap	all	0.42	3452	0.9188876013904984	0.9304750869061412	0.9368482039397452	0.9409038238702202	0.2824449594438007	0.358342989571263	0.4026651216685979	0.4272885283893395	0.9317786790266512	0.3676853997682502	-0.0047798377752027	-0.5110805330243338	False	False	True	True	84.20857473928157	1841.5634414831984	0.0023174971031286	-0.5425840092699883	-0.0072421784472769	-0.5205677867902665	-0.007821552723059	-0.496523754345307	-0.0063731170336036	-0.4846465816917729
ExcluIR	full	text-embedding-3-small	baseline-q_trap	baseline - beta*q_trap	all	0.43	3452	0.9183082271147162	0.9298957126303592	0.9368482039397452	0.9400347624565468	0.2682502896871379	0.3447276940903824	0.3861529548088065	0.4171494785631518	0.9312717265353418	0.3540701042873696	-0.0052867902665121	-0.5246958285052143	False	False	True	True	88.35921205098494	2043.5660486674392	0.0017381228273465	-0.5567786790266511	-0.007821552723059	-0.5341830822711472	-0.007821552723059	-0.5130359212050984	-0.0072421784472769	-0.4947856315179605
ExcluIR	full	text-embedding-3-small	baseline-q_trap	baseline - beta*q_trap	all	0.44	3452	0.9174391657010428	0.929316338354577	0.936268829663963	0.940324449594438	0.2546349942062572	0.3296639629200463	0.3705098493626882	0.4023754345307068	0.9308371958285052	0.3392960602549246	-0.0057213209733487	-0.5394698725376593	False	False	True	True	92.91628041714948	2266.9611819235224	0.0008690614136732	-0.5703939745075318	-0.0084009269988412	-0.5492468134414832	-0.0084009269988412	-0.5286790266512167	-0.0069524913093858	-0.5095596755504055
ExcluIR	full	text-embedding-3-small	baseline-q_trap	baseline - beta*q_trap	all	0.45	3452	0.9162804171494786	0.929026651216686	0.9348203939745076	0.9394553881807648	0.2387022016222479	0.3154692931633835	0.3589223638470452	0.3867323290845886	0.9298957126303592	0.3249565469293163	-0.0066628041714946	-0.5538093858632677	False	False	True	True	97.86181923522597	2512.381228273465	-0.000289687137891	-0.5863267670915411	-0.0086906141367323	-0.563441483198146	-0.0098493626882966	-0.5402665121668597	-0.007821552723059	-0.5252027809965237
ExcluIR	full	text-embedding-3-small	baseline-q_trap	baseline - beta*q_trap	all	0.46	3452	0.9162804171494786	0.9275782155272306	0.9336616454229432	0.9385863267670916	0.2250869061413673	0.2992468134414832	0.3429895712630359	0.3707995365005794	0.929026651216686	0.3095307068366164	-0.0075318655851679	-0.5692352259559675	False	False	True	True	103.24188876013903	2781.251738122827	-0.000289687137891	-0.5999420625724218	-0.0101390498261876	-0.5796639629200464	-0.0110081112398608	-0.5561993047508691	-0.0086906141367323	-0.541135573580533
ExcluIR	full	text-embedding-3-small	baseline-q_trap	baseline - beta*q_trap	all	0.47	3452	0.9159907300115876	0.9275782155272306	0.933082271147161	0.9380069524913094	0.2126303592120509	0.2844727694090382	0.3256083429895712	0.3548667439165701	0.9286645422943222	0.2943945538818076	-0.0078939745075318	-0.5843713789107763	False	False	True	True	109.13064889918888	3074.931633835458	-0.0005793742757821	-0.6123986095017381	-0.0101390498261876	-0.5944380069524913	-0.0115874855156431	-0.5735805330243338	-0.0092699884125144	-0.5570683661645424
ExcluIR	full	text-embedding-3-small	baseline-q_trap	baseline - beta*q_trap	all	0.48	3452	0.914542294322132	0.9269988412514484	0.932213209733488	0.936558516801854	0.2001738122827346	0.2691193511008111	0.3108342989571263	0.3366164542294322	0.9275782155272306	0.2791859791425261	-0.0089803012746233	-0.5995799536500579	False	False	True	True	115.53447276940904	3396.03852838934	-0.0020278099652375	-0.6248551564310544	-0.0107184241019697	-0.6097914252607184	-0.0124565469293163	-0.5883545770567786	-0.0107184241019698	-0.5753186558516802
ExcluIR	full	text-embedding-3-small	baseline-q_trap	baseline - beta*q_trap	all	0.49	3452	0.9136732329084588	0.9267091541135574	0.9313441483198146	0.936558516801854	0.1897450753186558	0.2523174971031286	0.2946118192352259	0.3192352259559675	0.9270712630359212	0.2639774044032444	-0.0094872537659328	-0.6147885283893395	False	False	True	True	122.42439165701045	3745.452201622248	-0.0028968713789108	-0.6352838933951332	-0.0110081112398608	-0.626593279258401	-0.0133256083429895	-0.604577056778679	-0.0107184241019698	-0.5926998841251448
