embedding_model	condition	candidate_top_n	alpha	beta_before	beta_after	avg_violation_before	avg_violation_after	avg_violation_drop	relative_violation_drop	avg_recall_before	avg_recall_after	avg_recall_delta	recall@3_before	recall@3_after	violation@3_before	violation@3_after	recall@9_before	recall@9_after	violation@9_before	violation@9_after
Qwen/Qwen3-Embedding-4B	baseline - q_trap	20	1	0.75	1	0.341	0.17875	0.16225	0.475806	0.93525	0.9195	-0.01575	0.928	0.892	0.287	0.075	0.942	0.939	0.385	0.267
text-embedding-3-small	baseline - q_trap	10	1	0.75	1	0.5355	0.37425	0.16125	0.30112	0.9425	0.93175	-0.01075	0.925	0.905	0.393	0.163	0.957	0.953	0.692	0.585
Qwen/Qwen3-Embedding-0.6B	baseline - q_trap	10	0.25	0.1	0.2	0.542	0.38875	0.15325	0.282749	0.94275	0.93875	-0.004	0.928	0.924	0.458	0.289	0.955	0.951	0.621	0.499
text-embedding-3-small	baseline - q_trap	all	1.5	0.75	1	0.25925	0.1065	0.15275	0.5892	0.932	0.913	-0.019	0.92	0.898	0.193	0.082	0.942	0.923	0.307	0.123
Qwen/Qwen3-Embedding-0.6B	baseline - q_trap	all	0.75	0.1	0.2	0.59475	0.44375	0.151	0.253888	0.94275	0.9405	-0.00225	0.929	0.928	0.525	0.382	0.954	0.949	0.644	0.49
Qwen/Qwen3-Embedding-4B	baseline - q_trap	10	0.75	0.75	1	0.281	0.1325	0.1485	0.52847	0.92925	0.8985	-0.03075	0.903	0.852	0.125	0.041	0.947	0.94	0.42	0.289
Qwen/Qwen3-Embedding-0.6B	baseline - q_trap	10	0.75	0.75	1	0.29175	0.14525	0.1465	0.502142	0.933	0.90175	-0.03125	0.904	0.843	0.136	0.04	0.95	0.946	0.435	0.331
Qwen/Qwen3-Embedding-0.6B	baseline - q_trap	all	1.5	0.3	0.5	0.51775	0.3715	0.14625	0.282472	0.94175	0.93875	-0.003	0.93	0.924	0.453	0.309	0.949	0.949	0.564	0.415
Qwen/Qwen3-Embedding-0.6B	baseline - q_trap	all	0.75	0.2	0.3	0.44375	0.29775	0.146	0.329014	0.9405	0.93575	-0.00475	0.928	0.923	0.382	0.241	0.949	0.945	0.49	0.342
Qwen/Qwen3-Embedding-0.6B	baseline - q_trap	10	0.75	0.5	0.75	0.436	0.29175	0.14425	0.330849	0.93975	0.933	-0.00675	0.926	0.904	0.346	0.136	0.951	0.95	0.531	0.435
Qwen/Qwen3-Embedding-0.6B	baseline - q_trap	20	0.5	0.5	0.75	0.18875	0.04625	0.1425	0.754967	0.925	0.8465	-0.0785	0.901	0.798	0.085	0.031	0.939	0.884	0.279	0.059
Qwen/Qwen3-Embedding-4B	baseline - q_trap	all	1.5	0.75	1	0.23525	0.09425	0.141	0.599362	0.93325	0.9165	-0.01675	0.925	0.907	0.189	0.07	0.941	0.927	0.273	0.115
