retriever,method,samples,right_rank,mean_answer_rank,mean_trap_rank,recall@3,violation_rate@3,recall_minus_violation@3,recall@5,violation_rate@5,recall_minus_violation@5,recall@7,violation_rate@7,recall_minus_violation@7,recall@9,violation_rate@9,recall_minus_violation@9,avg_recall_minus_violation,alpha,beta,candidate_top_n
bge-m3,score_anti_rrf_c20_a0.5_b1,1000,0.915,37.88,67.407,0.94,0.322,0.6179999999999999,0.953,0.403,0.5499999999999999,0.961,0.459,0.502,0.965,0.504,0.46099999999999997,0.53275,0.5,1.0,20
bge-m3,score_anti_rrf_c20_a0.75_b0.3,1000,0.707,38.015,61.433,0.946,0.763,0.18299999999999994,0.96,0.82,0.14,0.962,0.855,0.10699999999999998,0.966,0.88,0.08599999999999997,0.12899999999999998,0.75,0.3,20
bge-m3,score_anti_rrf_c20_a0.75_b0.5,1000,0.766,37.942,62.417,0.952,0.689,0.263,0.96,0.749,0.21099999999999997,0.963,0.791,0.17199999999999993,0.966,0.814,0.15200000000000002,0.19949999999999998,0.75,0.5,20
bge-m3,score_anti_rrf_c20_a0.75_b0.75,1000,0.831,37.859,63.999,0.955,0.559,0.3959999999999999,0.96,0.639,0.32099999999999995,0.965,0.69,0.275,0.967,0.728,0.239,0.30774999999999997,0.75,0.75,20
bge-m3,score_anti_rrf_c20_a0.75_b1,1000,0.884,37.819,65.98,0.951,0.421,0.53,0.961,0.492,0.469,0.964,0.55,0.4139999999999999,0.965,0.606,0.359,0.44299999999999995,0.75,1.0,20
bge-m3,score_anti_rrf_c20_a1_b0.3,1000,0.702,38.007,61.27,0.952,0.779,0.17299999999999993,0.959,0.83,0.129,0.964,0.867,0.09699999999999998,0.966,0.893,0.07299999999999995,0.11799999999999997,1.0,0.3,20
bge-m3,score_anti_rrf_c20_a1_b0.5,1000,0.752,37.943,62.055,0.955,0.717,0.238,0.959,0.776,0.18299999999999994,0.965,0.813,0.15200000000000002,0.966,0.834,0.132,0.17625,1.0,0.5,20
bge-m3,score_anti_rrf_c20_a1_b0.75,1000,0.806,37.873,63.391,0.957,0.606,0.351,0.961,0.691,0.27,0.964,0.741,0.22299999999999998,0.967,0.767,0.19999999999999996,0.261,1.0,0.75,20
bge-m3,score_anti_rrf_c20_a1_b1,1000,0.858,37.813,65.008,0.956,0.489,0.46699999999999997,0.963,0.576,0.387,0.964,0.623,0.34099999999999997,0.966,0.673,0.2929999999999999,0.37199999999999994,1.0,1.0,20
bge-m3,score_anti_rrf_call_a0_b0.3,1000,0.759,226.638,2291.653,0.734,0.376,0.358,0.763,0.435,0.328,0.783,0.466,0.317,0.799,0.486,0.31300000000000006,0.32899999999999996,0.0,0.3,all
bge-m3,score_anti_rrf_call_a0_b0.5,1000,0.887,403.853,9347.16,0.673,0.112,0.561,0.709,0.147,0.5619999999999999,0.734,0.17,0.564,0.748,0.187,0.5609999999999999,0.5619999999999999,0.0,0.5,all
bge-m3,score_anti_rrf_call_a0_b0.75,1000,0.966,1157.215,32215.421,0.53,0.0,0.53,0.567,0.001,0.566,0.59,0.002,0.588,0.61,0.002,0.608,0.5730000000000001,0.0,0.75,all
bge-m3,score_anti_rrf_call_a0_b1,1000,0.989,3777.716,72372.75,0.361,0.0,0.361,0.387,0.0,0.387,0.409,0.0,0.409,0.427,0.0,0.427,0.396,0.0,1.0,all
bge-m3,score_anti_rrf_call_a0.25_b0.3,1000,0.765,31.766,696.388,0.857,0.512,0.345,0.888,0.569,0.31900000000000006,0.9,0.605,0.29500000000000004,0.906,0.624,0.28200000000000003,0.31025,0.25,0.3,all
bge-m3,score_anti_rrf_call_a0.25_b0.5,1000,0.875,51.502,3375.983,0.835,0.271,0.564,0.866,0.321,0.5449999999999999,0.882,0.358,0.524,0.893,0.385,0.508,0.53525,0.25,0.5,all
bge-m3,score_anti_rrf_call_a0.25_b0.75,1000,0.962,139.934,14426.934,0.767,0.037,0.73,0.802,0.056,0.746,0.827,0.065,0.762,0.838,0.078,0.76,0.7495,0.25,0.75,all
bge-m3,score_anti_rrf_call_a0.25_b1,1000,0.992,561.192,39801.61,0.622,0.0,0.622,0.666,0.0,0.666,0.683,0.0,0.683,0.7,0.0,0.7,0.6677500000000001,0.25,1.0,all
bge-m3,score_anti_rrf_call_a0.5_b0.3,1000,0.755,6.452,266.51,0.921,0.599,0.32200000000000006,0.937,0.657,0.28,0.95,0.68,0.2699999999999999,0.96,0.695,0.265,0.28425,0.5,0.3,all
bge-m3,score_anti_rrf_call_a0.5_b0.5,1000,0.859,8.652,1353.19,0.915,0.406,0.509,0.93,0.449,0.48100000000000004,0.947,0.48,0.46699999999999997,0.952,0.508,0.44399999999999995,0.47524999999999995,0.5,0.5,all
bge-m3,score_anti_rrf_call_a0.5_b0.75,1000,0.949,20.847,6445.042,0.889,0.142,0.747,0.916,0.179,0.7370000000000001,0.927,0.213,0.7140000000000001,0.933,0.222,0.7110000000000001,0.72725,0.5,0.75,all
bge-m3,score_anti_rrf_call_a0.5_b1,1000,0.988,79.35,20479.928,0.827,0.008,0.819,0.855,0.011,0.844,0.868,0.015,0.853,0.88,0.019,0.861,0.84425,0.5,1.0,all
bge-m3,score_anti_rrf_call_a0.75_b0.3,1000,0.756,2.783,132.803,0.945,0.659,0.2859999999999999,0.964,0.71,0.254,0.974,0.748,0.22599999999999998,0.981,0.762,0.21899999999999997,0.24624999999999997,0.75,0.3,all
bge-m3,score_anti_rrf_call_a0.75_b0.5,1000,0.838,2.873,642.614,0.949,0.483,0.46599999999999997,0.967,0.539,0.42799999999999994,0.971,0.574,0.397,0.977,0.601,0.376,0.41674999999999995,0.75,0.5,all
bge-m3,score_anti_rrf_call_a0.75_b0.75,1000,0.93,4.216,3129.336,0.946,0.265,0.6809999999999999,0.955,0.324,0.631,0.96,0.347,0.613,0.961,0.366,0.595,0.6299999999999999,0.75,0.75,all
bge-m3,score_anti_rrf_call_a0.75_b1,1000,0.979,12.999,10575.434,0.913,0.061,0.8520000000000001,0.931,0.087,0.8440000000000001,0.94,0.11,0.83,0.945,0.12,0.825,0.83775,0.75,1.0,all
bge-m3,score_anti_rrf_call_a1_b0.3,1000,0.746,2.186,83.945,0.965,0.702,0.263,0.98,0.757,0.22299999999999998,0.982,0.786,0.19599999999999995,0.983,0.806,0.17699999999999994,0.21474999999999997,1.0,0.3,all
bge-m3,score_anti_rrf_call_a1_b0.5,1000,0.823,2.057,359.698,0.965,0.541,0.42399999999999993,0.978,0.602,0.376,0.98,0.64,0.33999999999999997,0.981,0.662,0.31899999999999995,0.36474999999999996,1.0,0.5,all
bge-m3,score_anti_rrf_call_a1_b0.75,1000,0.904,2.246,1683.503,0.963,0.353,0.61,0.967,0.411,0.556,0.973,0.448,0.5249999999999999,0.975,0.456,0.5189999999999999,0.5525,1.0,0.75,all
bge-m3,score_anti_rrf_call_a1_b1,1000,0.96,3.67,5785.514,0.95,0.151,0.7989999999999999,0.962,0.194,0.768,0.966,0.223,0.743,0.968,0.241,0.727,0.75925,1.0,1.0,all
