embedding_model	condition	candidate_top_n	beta	avg_recall	avg_violation	recall@3	recall@5	recall@7	recall@9	violation@3	violation@5	violation@7	violation@9
Qwen/Qwen3-Embedding-4B	baseline - beta*q_trap	all	0.08	0.94575	0.67575	0.936	0.943	0.951	0.953	0.609	0.665	0.7	0.729
Qwen/Qwen3-Embedding-4B	baseline - beta*q_trap	all	0.09	0.94575	0.664	0.936	0.943	0.951	0.953	0.601	0.651	0.688	0.716
Qwen/Qwen3-Embedding-4B	baseline - beta*q_trap	all	0.10	0.9455	0.65325	0.936	0.943	0.95	0.953	0.592	0.647	0.675	0.699
Qwen/Qwen3-Embedding-4B	baseline - beta*q_trap	all	0.11	0.94475	0.64125	0.936	0.943	0.949	0.951	0.578	0.631	0.668	0.688
Qwen/Qwen3-Embedding-4B	baseline - beta*q_trap	all	0.12	0.94475	0.63175	0.936	0.943	0.949	0.951	0.568	0.624	0.658	0.677
Qwen/Qwen3-Embedding-4B	baseline - beta*q_trap	all	0.13	0.9445	0.62075	0.936	0.942	0.949	0.951	0.558	0.612	0.648	0.665
Qwen/Qwen3-Embedding-4B	baseline - beta*q_trap	all	0.14	0.94475	0.61125	0.936	0.942	0.949	0.952	0.547	0.605	0.637	0.656
Qwen/Qwen3-Embedding-4B	baseline - beta*q_trap	all	0.15	0.9445	0.60075	0.936	0.942	0.949	0.951	0.535	0.597	0.627	0.644
Qwen/Qwen3-Embedding-4B	baseline - beta*q_trap	all	0.16	0.9435	0.59	0.935	0.941	0.947	0.951	0.524	0.587	0.614	0.635
Qwen/Qwen3-Embedding-4B	baseline - beta*q_trap	all	0.17	0.94325	0.5795	0.934	0.941	0.947	0.951	0.519	0.577	0.601	0.621
Qwen/Qwen3-Embedding-4B	baseline - beta*q_trap	all	0.18	0.9425	0.5695	0.933	0.94	0.947	0.95	0.511	0.563	0.593	0.611
Qwen/Qwen3-Embedding-4B	baseline - beta*q_trap	all	0.19	0.94225	0.56125	0.933	0.939	0.947	0.95	0.501	0.555	0.586	0.603
Qwen/Qwen3-Embedding-4B	baseline - beta*q_trap	all	0.20	0.94225	0.55225	0.932	0.939	0.947	0.951	0.491	0.543	0.579	0.596
Qwen/Qwen3-Embedding-4B	baseline - beta*q_trap	all	0.21	0.94225	0.54125	0.932	0.94	0.946	0.951	0.474	0.533	0.571	0.587
Qwen/Qwen3-Embedding-4B	baseline - beta*q_trap	all	0.22	0.9425	0.5285	0.932	0.941	0.946	0.951	0.467	0.509	0.557	0.581
Qwen/Qwen3-Embedding-4B	baseline - beta*q_trap	all	0.23	0.94225	0.51625	0.932	0.941	0.945	0.951	0.461	0.498	0.541	0.565
Qwen/Qwen3-Embedding-4B	baseline - beta*q_trap	all	0.24	0.94225	0.50575	0.932	0.941	0.945	0.951	0.454	0.492	0.525	0.552
Qwen/Qwen3-Embedding-4B	baseline - beta*q_trap	all	0.25	0.942	0.4965	0.932	0.941	0.944	0.951	0.445	0.485	0.517	0.539
Qwen/Qwen3-Embedding-4B	baseline - beta*q_trap	all	0.26	0.942	0.4875	0.932	0.941	0.944	0.951	0.436	0.477	0.507	0.53
Qwen/Qwen3-Embedding-4B	baseline - beta*q_trap	all	0.27	0.94225	0.4785	0.934	0.94	0.944	0.951	0.425	0.468	0.499	0.522
Qwen/Qwen3-Embedding-4B	baseline - beta*q_trap	all	0.28	0.942	0.4675	0.934	0.94	0.943	0.951	0.416	0.458	0.485	0.511
Qwen/Qwen3-Embedding-4B	baseline - beta*q_trap	all	0.29	0.94175	0.4575	0.934	0.939	0.943	0.951	0.404	0.448	0.476	0.502
Qwen/Qwen3-Embedding-4B	baseline - beta*q_trap	all	0.30	0.9415	0.4455	0.933	0.938	0.944	0.951	0.394	0.435	0.465	0.488
